text,bloom,style
"• After studying this unit students will be able to understand concept of set. • To define set. • To know the natation of set and its elements. • Define • Finite and infinite set • Empty /void/null set • Singleton • Equal and equivalent sets • Subset and superset of a set • Proper and improper subsets of a set and demonstrate through examples. MATERIAL AIDS •   Writing board (black and white board) •   Textbooks , Note books •   Chalks •   Markers •   Pencils                                                    2 •    Charts •    Duster •    Pictures•  Collaborative learning and lecture
•  Questioning and Answering method
•  The teacher will use all teaching aids for the purpose to makes stands interested in the
   lesson",Apply,Inquiry-based
•    The students will learn about climate and weather •    The students will understand how animals adapt themselves,Understand,Lecture-based
•    The students will recognize BODMAS rules for the following orders where the      operations are performed in simplifying the mathematical expressions. •    To make the students able to simplify mathematical expressions where fractions and      decimals are involved with the usage of BODMAS rule. •    How to solve daily life problems where fractions and decimals are involved.,Apply,Lecture-based
The students will learn •    What is an environment? •    What is nature? •    They will learn the relationship between nature and environment. •    What is pollution? •    The students will come to know about those causes from which the environments      becomes polluted.,Apply,Lecture-based
"After studding these unit student will come to know about. • The last prophet Hazrat Muhammad (P B U H) • About the hole life of Hazrat Muhammad (P B U H) which was spend in Madina and Makkh • About all the given sacrifices for Allah, Islam and all Muslims of the world • Changes in the life of many people who accepted Islam • About the struggles to spread Islam and remove ignorance",Understand,Lecture-based
After studding this topic the students will be able • To learn to speak words and sentence correctly. • To write and speak English correctly • How to develop their skills • To develop and maintain the students ability. • To increase and develop the students interested in English language. • To make them understand the importance of English language.,Create,Lecture-based
,Understand,Lecture-based
•    After studding this unit the students will be able to learn. •    About the different definitions of sound. •    The importance of sound in our life. •    To increase the interest of students in science subject. •    The student will come to know about the usage of principle in daily life. •    To use and apply the principle of science in daily life. •    To develop the knowledge of students in science subject.,Apply,Lecture-based
"•    After studding this topic the student will be able •    The students can develop their speaking, reading, listening powers and skills. •    The students will come to know about the rules and principles of subject English      Grammar and translation. •    Their vocabulary kills will be improved. •    Their knowledge about English language and sentences will be increased. •    Come to know about the importance of English language in our daily life.",Create,Lecture-based
"After studding this topic the students will be able to the correct. •    Learn about pronunciation of words and sentences. •    To improve the speaking, listening, reading, and writing power and skills. •    To develop the correction of speaking and writing skills •    To improve the mentality and interest of the students. •    To know the rule and regulation of English grammar in our daily life.",Create,Lecture-based
After studding this unit the students will be enable •    Define the causes and background of Pakistan Resolution. •    To discuss the congress alternative 1940 to Pakistan and proposal of C.R formula (Cripps      Mission). •    Jinnah – Gandhi discussion about 1942 C.R formula. •    Also discuss the first Shimla conference key feature. •    For the creation of Pakistan General Elections (1945- 46) and its influence. •    To describe the comparison and contrastable Cripps offer and Cabinet Mission plan. •    Come to know about Muslim League Legislators.,Apply,Inquiry-based
"After studding this 8 topic of English Grammar. The students will be enable. •    To define the different definitions and meaning of parts of speech. •    To define and explain each part of speech with well definitions, meaning and examples. •    To know about the importance of parts of speech in English Grammar and language. •    To improve the English grammar skills. •    To build the structure of vocabulary.",Remember,Lecture-based
In the end of this unit the student will be able • To define poetry and its meaning. • To identify poetry as a type of literature. • To rusticate the communication in easy and simple prose. • To discuss the main idea theme and some of the poem. • To explain the stanzas and its meaning. • To understand the difficult guide words and head words. • To use conceit and similes. • To identify the role of friend.,Remember,Lecture-based
"In the end of this unit the students will be able • To answer the asked questions. • To improve their grammatical structure. • To pronounce correctly the difficult words. • To recognize sentence, simple and compound sentences. • To know the method of writing a paragraph on any given topic. • To identify the use of parts of speech.",Apply,Inquiry-based
"After studding this unit the students will learn about. •    To know the method to write the composition of many paragraphs. •    To know about the usage of punctuations such as commas, question marks etc. •    To utilize noun is singular and plural with meanings. •    To use verb and helping verbs. •    To identify the function of model verbs",Apply,Inquiry-based
"After studding this unit the students will be able to learn. • To write and read stories about any topic. • To understand the theme of stories. • To write the summary of the story. • To identify the characters and discuss the seasons with personal response. • To use and identify the grammatical structures for different purpose such as Active voice,   passive voice and relative pronouns. • To use and identify syllabus.",Apply,Lecture-based
"After studding this unit the students will learn. •    To know the method of writing texts. •    To use written texts in their own writing. •    Attributes of information’s about people, things and place. •    To identify the use of sentences and types like conditional sentences. •    To analyze the use of noun and form of adjectives.",Apply,Lecture-based
After studding this chapter the students will enable. •    To describe and define the different meanings of ideology. •    To recognize the main fountainhead of ideology of Pakistan. •    To discuss the Pakistan ideology according to Islamic values concepts and instructions. •    To know about the socco cultural background of Muslim India. •    To recognize the concepts regarding ideology of Pakistan in the announcement of our      leaders.,Understand,Lecture-based
"The students will be able to know after studding this chapter. • To recognize the location of Pakistan and its leeway and longitude with the respect to   Neighbors. • To discuss the main landform characteristics of Pakistan. • To discuss climate, weather, temperature and precipitation and atmosphere condition in   different parts and in different seasoning of Pakistan. • To describe the main climate area and the climatic features of each are. • The division of Pakistan into provinces. • To discuss the drainage system of Pakistan. • To describe the forests of Pakistan, types of forests and their division in the country. • To describe the oceans, Mountains, Glacis, Rainfall seasons.",Understand,Lecture-based
"In the end of this chapter the students will be able to • Recognize significant natural regions and their different features. • Describe the environment of human being of these regions. • Describe the major different and admirable of these regions. • Describe the nature and essential of the major environment and atmosphere. • Discuss the issues consociated with the uses and preservation method for water   land, natural vegetation and wildlife.",Understand,Lecture-based
•    In this chapter student will know about the basic concept of living organism and life. •    They will come to know the basic unit of life.(cell) •    They will know the first discovery and theory of cell they will come to know first device by      which the cell was discovered. (Light and compound Microscope). •    They will learn and know how the life is evolved from simpler to complex organisms.,Understand,Lecture-based
"•    With the knowledge of this chapter students will know about the Micro- Organisms their      types, structures and their classification. •    After completion students will know about cellular and A cellular life. •    Students will be able to differentiate prokaryotic and eukaryotic cell.",Analyze,Lecture-based
•    Student will be introduce to such Micro-organisms which are heterophic and have cell wall. •    They will know the position of fungi according to two kingdom system of classification as      tallophata. •    They will come to know the main feature of fungi its resemblance with animal and with plants. •    What is difference between the cell wall of fungi and plant?,Understand,Lecture-based
•    In this chapter students will come to know about main characteristics of chordate or      vertebrates. •    The main concept of vertebrate bone or back bone. •    They will know the three following characteristics which are          1. Notochord          2. Pharyngeal pouches          3. Hollow Dorsal Nervous system          4. Classification of vertebrates,Understand,Lecture-based
•    In this chapter students will come to know about food main sources of food and      importance of different nutrition. •    The students will come to know about how we get energy from food. •    They will know why food needed for cell activities. •    If any required nutrient is deficient in our body which diseases can result?,Understand,Lecture-based
•    After studding this chapter students will know about different branches of chemistry. •    Students will be able to differentiate between branches of chemistry. •    Students will know about analytical chemistry and basic definitions of chemistry.,Analyze,Lecture-based
•    Teacher will tell the basic unit of meter which is called atoms •    Teacher will tell how the atom is building blocks of matter. •    Teacher will tell about subatomic particles.,Understand,Lecture-based
•    Teacher will tell about the need of periodic table. •    Teacher will tell about the classification of periodic table. •    Teacher will tell about periodic and groups of periodic table. •    Teacher will tell to students about shape of periodic table.,Understand,Lecture-based
•    After studding this chapter students will know how Molecule are formed by combination of      some or different atomic. •    Students will know how chemical bonds are formed. •    They will come to know how atom make bonds using its valance electron. •    They will come to know about how atom get stable by making bonds.,Understand,Lecture-based
"•    Teacher will define Matter with example as everything which has mass and occupy space      is called matter like book, table etc. •    Teacher will tell different stables of matter which are gases, liquid and solid and      plasma states teacher will tell about. •    Teacher will tell about intermolecular forces present in different state of matter.",Remember,Lecture-based
"•    At the end of this unit the students will be able to know about the sports and the      importance of sports in our daily life. •    The importance of health, physical and mental health. •    The value of healthy body. •    The importance of cleanliness. •    The value of game, activeness.",Understand,Lecture-based
•    At the end of this unit the students will be able to know about the pollution and its types and      effect to know about the polluted environment. •    To know about the cleanliness of our country and city. •    To being responsibility about the cleanliness of their houses.,Apply,Lecture-based
